lat,lon,type
34.076,-118.5069,total
34.0797,-117.6484,total
34.1049,-117.8132,total
34.1063,-118.2632,total
34.1139,-118.2588,total
34.2122,-84.1857,total
34.2321,-118.8849,total
34.2439,-116.9114,total
34.2468,-84.1491,total
34.2527,-118.3197,total
34.2753,-85.1937,total
34.4178785,-93.6197584,total
34.4626,-93.9984,total
34.51015,-93.10025,total
34.52847,-93.06775,total
34.53593,-93.02804,total
34.5429,-85.3226,total
34.56449,-92.3477,total
34.57056,-94.27029,total
34.6054,-92.6255,total
34.6367,-106.7322,total
34.6424,-83.2578,total
34.7311,-76.6421,total
34.7395,-82.3042,total
34.756604,-92.429643,total
34.7604,-92.3209,total
34.863504,-92.4096875,total
34.947778,-81.933056,total
35.0856,-111.6657,total
35.1052,-80.805,total
35.1145,-92.429,total
35.1417,-97.3409,total
35.1603,-82.5581,total
35.2102,-84.883,total
35.2162,-111.5725,total
35.2216,-106.6473,total
35.2227,-80.7938,total
35.2247,-111.6055,total
35.2365,-80.7826,total
35.2905,-82.544,total
35.3053,-111.5376,total
35.3726,-97.2068,total
35.4349,-96.0021,total
35.43789,-97.51955,total
35.4467,-82.4978,total
35.4857,-80.833,total
35.5536,-82.4609,total
35.61292,-93.83612,total
35.622,-78.7447,total
35.6791,-78.624,total
35.6864,-83.5006,total
35.7176,-94.9203,total
35.8389,-79.1312,total
35.83914,-94.04385,total
35.8661,-78.6575,total
35.8871,-79.0558,total
35.8887,-78.5934,total
35.8922,-78.5976,total
35.9273,-78.9368,total
35.9463,-78.6109,total
35.9627,-84.1906,total
35.9627,-81.6245,total
35.9806,-78.8426,total
35.987,-87.1451,total
36.0002,-84.0197,total
36.0048,-86.7886,total
36.0105,-80.0429,total
36.0286,-78.9703,total
36.0529,-86.8293,total
36.057,-86.7795,total
36.089254,-92.54893,total
36.12,-78.5438,total
36.1247,-86.8709,total
36.1414,-94.138,total
36.255,-80.3115,total
36.4575,-94.1189,total
36.5207,-121.6768,total
36.5302,-82.4516,total
36.5814,-121.9083,total
36.77501,-90.93178,total
36.7894841,-90.41492,total
36.8,-90.4,total
36.8068494,-90.5477812,total
36.8097,-90.4662,total
36.8169,-86.8608,total
36.8949341,-90.3967577,total
36.97123,-90.2074,total
37.0026,-121.951,total
37.0609,-122.0198,total
37.1157,-113.6329,total
37.2294,-121.9684,total
37.2301,-121.9933,total
37.2384,-121.9492,total
37.24242,-89.1192,total
37.2829,-89.165,total
37.284,-89.1653,total
37.2855,-122.1507,total
37.3021,-121.9323,total
37.3407,-121.7644,total
37.3408,-121.7648,total
37.3616,-118.4335,total
37.3636,-118.3876,total
37.388,-92.8313,total
37.4149,-76.5441,total
37.4321,-122.1284,total
37.4325,-77.7283,total
37.4386,-79.208,total
37.45517,-89.2612,total
37.4679,-122.272,total
37.4792,-122.1886,total
37.484,-89.353,total
37.48431,-89.089,total
37.4848,-122.2282,total
37.5072,-122.4816,total
37.5091,-122.4738,total
37.5171,-122.5116,total
37.52483,-88.8577,total
37.5271,-122.5155,total
37.53652,-89.2003,total
37.557033,-90.668792,total
37.5628,-122.3276,total
37.57629,-88.9146,total
37.60759,-89.2466,total
37.60776,-89.2388,total
37.61196,-89.2399,total
37.61979,-88.8876,total
37.62061,-88.6159,total
37.6261,-89.1463,total
37.62845,-89.0032,total
37.63287,-89.2328,total
37.65459,-89.1693,total
37.6569,-122.4874,total
37.67215,-89.2631,total
37.6724,-89.2639,total
37.67464,-89.2656,total
37.68269,-97.13662,total
37.68828,-89.1277,total
37.69564,-89.31541,total
37.70528,-89.3763,total
37.71174,-89.2772,total
37.71448,-88.8388,total
37.71623,-89.2283,total
37.71643,-89.3765,total
37.71765,-89.2346,total
37.71831,-88.1858,total
37.7226,-89.2305,total
37.72284,-89.3517,total
37.7246,-89.2454,total
37.72528,-89.2167,total
37.7531,-77.4843,total
37.75332,-89.0672,total
37.7749,-122.4194,total
37.77625,-89.378,total
37.83484,-89.3815,total
37.8408,-122.2005,total
37.8855,-77.9641,total
37.895,-122.497,total
37.9064,-122.3014,total
37.9493,-122.5976,total
37.9848,-122.5674,total
37.999,-122.6355,total
38.0012,-122.6016,total
38.0241,-122.6995,total
38.02764,-89.0128,total
38.03153,-78.52409,total
38.0805,-84.4733,total
38.0843,-122.1662,total
38.0889,-122.5178,total
38.104403,-90.326928,total
38.1051,-90.0979,total
38.1228,-121.2543,total
38.1535,-92.894,total
38.2108,-85.7293,total
38.25294,-88.8548,total
38.2534,-122.6054,total
38.2687,-122.4588,total
38.2717,-77.2137,total
38.28,-120.9703,total
38.3306,-77.2404,total
38.3639,-122.4719,total
38.44125,-90.1341,total
38.446,-122.7128,total
38.48962,-88.25138,total
38.49779,-88.26842,total
38.54339,-89.0925,total
38.5579,-90.3545,total
38.5687,-90.5561,total
38.6106,-94.6891,total
38.61252,-90.3128,total
38.6287,-77.3382,total
38.6527,-90.4905,total
38.6542,-120.9354,total
38.6584,-90.9785,total
38.6849,-76.5344,total
38.6883,-121.1347,total
38.7365,-77.074700000000007,total
38.7481,-77.2383,total
38.7577,-77.0697,total
38.7636,-77.4322,total
38.8309,-94.7973,total
38.8312,-77.4135,total
38.8647,-84.4491,total
38.8661,-77.1949,total
38.8694,-77.3917,total
38.8852,-77.0882,total
38.8854,-77.0882,total
38.8884,-77.2468,total
38.9012,-120.0346,total
38.9022,-94.3908,total
38.9096,-77.3239,total
38.91429,-90.0384,total
38.9158,-77.2745,total
38.9201,-94.3999,total
38.9543,-77.0875,total
38.9636,-94.6496,total
38.9959,-85.0141,total
39.00586,-87.7389,total
39.006026,-92.3167252,total
39.0066,-76.7452,total
39.0452,-94.7189,total
39.0698,-86.5608,total
39.0761,-108.5451,total
39.0809,-76.559,total
39.0827,-108.6756,total
39.085,-108.678,total
39.1087,-108.6736,total
39.1108,-76.6838,total
39.1149,-84.7251,total
39.1164,-77.7802,total
39.1281,-95.7305,total
39.1427,-76.5085,total
39.1641,-84.5374,total
39.2307,-76.8055,total
39.2446,-85.9178,total
39.246,-104.964,total
39.2572,-84.2818,total
39.2673,-84.3888,total
39.3636,-84.227,total
39.3781,-77.5706,total
39.39719,-96.73761,total
39.403308,-86.315939,total
39.429,-76.735,total
39.4563,-104.7487,total
39.5243,-122.1936,total
39.56209,-84.74814,total
39.5756,-104.8974,total
39.58,-104.903,total
39.6087,-119.7052,total
39.6289,-84.2671,total
39.64256,-89.6587,total
39.6685,-86.1361,total
39.683,-104.9835,total
39.71116,-83.85999,total
39.7278,-104.6601,total
39.7364,-105.0431,total
39.7379,-90.4375,total
39.7556,-75.6544,total
39.7609,-121.6007,total
39.77373,-87.0203,total
39.7767,-86.3327,total
39.7922,-78.3698,total
39.79936,-89.6436,total
39.807606,-83.88765,total
39.81412,-84.36908,total
39.8207,-82.8191,total
39.836701,-84.838096,total
39.843,-86.397,total
39.8927,-105.1371,total
39.9168,-75.0498,total
39.9244,-76.298,total
39.9378,-75.4074,total
39.93902,-86.26903,total
39.9457,-75.8224,total
39.958,-86.0813,total
39.9663,-74.8103,total
39.9828,-105.2371,total
39.9829,-85.8984,total
39.9916,-105.1189,total
39.9924,-105.1187,total
39.9983,-74.7687,total
40.0638,-105.0441,total
40.0654,-81.0746,total
40.066,-88.5584,total
40.10586,-88.2015,total
40.1088,-82.9187,total
40.1196,-75.1593,total
40.1431,-105.1645,total
40.1452,-105.1667,total
40.1523,-84.2502,total
40.1726,-84.6171,total
40.173,-83.086,total
40.2044,-83.1525,total
40.2053,-75.3023,total
40.2268622,-82.9787107,total
40.2626,-75.6151,total
40.2644,-75.1136,total
40.2699,-76.1124,total
40.3126,-74.5934,total
40.3315,-79.8987,total
40.35665,-88.9752,total
40.3738,-73.998,total
40.3883,-74.7526,total
40.398417,-82.416478,total
40.4109,-79.65,total
40.4121,-79.6511,total
40.4126,-79.6494,total
40.42,-79.6569,total
40.42623,-90.0291,total
40.4467,-79.6842,total
40.4574,-79.6245,total
40.4661,-80.0276,total
40.4776,-109.5833,total
40.5038,-80.0474,total
40.53005,-90.2607,total
40.5396,-80.026,total
40.54,-80.0264,total
40.55217,-89.6416,total
40.5767,-105.0673,total
40.5776,-80.0526,total
40.5778,-80.0528,total
40.5849,-86.66903,total
40.601,-74.6575,total
40.6076191,-82.3056,total
40.61,-89.37,total
40.6207,-74.6414,total
40.6524,-78.2425,total
40.6645,-77.9063,total
40.6774,-73.5553,total
40.68258,-89.5438,total
40.6855659,-82.6175365,total
40.69299,-89.7884,total
40.69459,-89.5904,total
40.6993,-99.0817,total
40.70346,-89.4037,total
40.7203129,-89.2733188,total
40.72644,-89.5041,total
40.7267496,-84.1969452,total
40.7270198,-81.9699569,total
40.73498,-89.5552,total
40.7372,-74.3294,total
40.74097,-84.01915,total
40.7455,-76.574700000000007,total
40.7474,-89.6455,total
40.7512005,-79.8129517,total
40.7593,-73.7403,total
40.7627,-82.5593,total
40.7888,-73.5059,total
40.7897,-77.8581,total
40.8081,-75.3351,total
40.8099,-81.9426,total
40.8278,-82.5294,total
40.8376,-76.8744,total
40.8471,-81.3877,total
40.8595,-76.7777,total
40.86539,-90.3474,total
40.8672,-75.2112,total
40.8744,-77.0848,total
40.9226,-83.98505,total
40.9332,-82.2802,total
40.9491,-73.1109,total
41,-87,total
41.0037,-74.0917,total
41.006100000000004,-76.4476,total
41.01536,-81.35731,total
41.02,-74.1216,total
41.022639,-82.927076,total
41.0239,-74.1376,total
41.042,-85.1695,total
41.0834,-73.8696,total
41.0859,-81.4518,total
41.0984,-74.2542,total
41.13541,-82.21573,total
41.1364,-73.8613,total
41.138799,-81.4425,total
41.139588,-81.4442947,total
41.1523219,-82.8789084,total
41.2025,-90.6062,total
41.2037,-77.0444,total
41.2124,-81.5759,total
41.2229,-83.0225,total
41.2631,-82.3292,total
41.2665,-81.8269,total
41.2926,-76.0073,total
41.3192,-72.9626,total
41.3199,-75.924,total
41.3265,-72.9214,total
41.32766,-85.69758,total
41.36841,-88.202,total
41.36953,-81.60655,total
41.3749,-83.6504,total
41.3846,-82.2458,total
41.3854,-71.9836,total
41.3963,-96.3009,total
41.40948,-81.41458,total
41.4246,-81.9252,total
41.42537,-81.16001,total
41.4371,-81.8659,total
41.44734,-88.7624,total
41.4484,-88.2605,total
41.4565013,-81.2047232,total
41.4581,-72.2832,total
41.4592,-82.0558,total
41.5363,-81.3401,total
41.54538,-81.63241,total
41.55179,-84.36058,total
41.55425,-72.6633606,total
41.5929,-73.7176,total
41.60848,-82.68669,total
41.6339,-70.9406,total
41.6439,-87.9191,total
41.6449,-73.6435,total
41.6574,-91.498,total
41.6658722,-81.3504124,total
41.6764,-86.252,total
41.6853,-72.9296,total
41.7047,-91.5461,total
41.7067,-83.4917,total
41.7121,-72.5415,total
41.7297,-81.3052,total
41.7298,-80.1322,total
41.7313,-86.2319,total
41.7536,-87.6064,total
41.7603,-84.078,total
41.7742,-74.1758,total
41.78628,-87.9255,total
41.828606,-70.794038,total
41.8749,-71.5429,total
41.883889,-87.912778,total
41.8965,-71.4197,total
41.91337,-88.3156,total
41.9649,-71.0175,total
41.9833,-71.5214,total
41.9934,-87.7784,total
42.0168,-88.1843,total
42.019,-86.5206,total
42.0215,-71.2188,total
42.0238,-87.6938,total
42.02661947,-74.18379146,total
42.0373,-93.6005,total
42.04103,-74.12232,total
42.0453,-91.6227,total
42.0729086,-71.450002,total
42.0825,-75.9004,total
42.091,-88.5418,total
42.10508,-79.4981,total
42.1127,-82.4095,total
42.1137,-73.5765,total
42.1177,-72.6445,total
42.1256,-83.1529,total
42.12702,-80.08697,total
42.139118,-80.087658,total
42.1648,-71.254,total
42.22264,-73.72216,total
42.2327,-85.6503,total
42.2384,-71.757,total
42.2516,-71.5966,total
42.2636,-88.1333,total
42.2671,-72.5422,total
42.2741,-71.1377,total
42.2794,-71.1605,total
42.2887,-83.2239,total
42.2965,-85.605,total
42.3109,-74.0554,total
42.3141,-85.6377,total
42.317,-72.6276,total
42.3667,-84.011,total
42.379,-85.8985,total
42.3843,-72.6515,total
42.389,-84.5487,total
42.4147,-71.1731,total
42.4278,-76.4127,total
42.4338,-83.3311,total
42.4359,-73.5208,total
42.444,-76.4821,total
42.4488,-83.4067,total
42.4540743,-79.3371685,total
42.4668,-83.3831,total
42.483,-71.3135,total
42.51349,-72.4854,total
42.5135,-72.8511,total
42.5442,-71.3733,total
42.5542,-90.6961,total
42.5653,-72.836,total
42.5671,-70.9463,total
42.5766,-83.0188,total
42.62369369,-78.5394427,total
42.6338,-71.552,total
42.7287,-83.0279,total
42.7316,-84.688,total
42.7417,-84.5155,total
42.7493,-83.867,total
42.755781,-72.273754,total
42.7582,-84.5895,total
42.819,-71.1154,total
42.8435434,-76.9886943,total
42.85830313,-73.79308336,total
42.8596,-71.6147,total
42.866523,-78.667772,total
42.8819,-70.8774,total
42.8851,-77.4739,total
42.9206,-75.8443,total
42.977,-85.5777,total
42.9813,-77.415,total
43.0127407,-88.3086583,total
43.0413078,-78.4538938,total
43.0533,-87.9825,total
43.0539,-79.13847,total
43.07334702,-77.81481803,total
43.074892,-70.950331,total
43.109,-90.2453,total
43.1567,-77.6107,total
43.1572,-75.4639,total
43.1574,-93.2284,total
43.1577,-75.4624,total
43.18657,-77.75444,total
43.2055,-77.5132,total
43.3033,-91.7857,total
43.4535,-96.4266,total
43.481,-79.9663,total
43.5361,-80.2893,total
43.5687744,-71.7461471,total
43.5728,-80.2682,total
43.647154,-79.498159,total
43.6497,-79.4509,total
43.6512,-79.4637,total
43.6626,-79.4969,total
43.6655,-79.4204,total
43.6699,-79.3223,total
43.6764,-79.5366,total
43.696,-80.3803,total
43.7081,-72.1017,total
43.7182,-79.3659,total
43.79568,-72.18011,total
43.9028,-91.3132,total
43.9099,-89.5858,total
43.9252,-72.6657,total
43.9259,-78.7802,total
43.9426,-79.5488,total
43.9577,-79.9337,total
43.9841,-80.0004,total
43.99088,-69.63999,total
44.0383,-69.5213,total
44.0422,-77.737,total
44.0553,-121.2981,total
44.0693,-75.4324,total
44.0846,-79.9783,total
44.1141,-79.0018,total
44.1893,-74.4458,total
44.219,-76.6815,total
44.2285,-88.4814,total
44.2297,-85.4391,total
44.2575,-121.1958,total
44.2973,-78.2961,total
44.3001,-121.1798,total
44.3731,-100.3343,total
44.3771,-64.314,total
44.3905,-92.0831,total
44.4587,-79.4938,total
44.46311,-71.68203,total
44.50552,-72.86493,total
44.5174,-74.30237,total
44.5302,-89.5489,total
44.5476,-89.5982,total
44.561,-75.7218,total
44.5712,-87.8812,total
44.576,-89.6624,total
44.6733,-85.4806,total
44.7461,-75.125,total
44.7512,-91.5146,total
44.7659,-108.7612,total
44.7732,-65.4051,total
44.8032,-63.6202,total
44.8239,-84.9528,total
44.8384,-84.9407,total
44.8856,-123.0433,total
44.8988,-73.1067,total
44.9576,-93.1225,total
44.9646,-93.3682,total
44.9656,-89.7066,total
45.0027,-93.4881,total
45.0129,-93.4905,total
45.06,-79.323,total
45.1883,-70.4689,total
45.1961,-70.4605,total
45.2211,-79.5676,total
45.2244,-122.8029,total
45.26248137,-69.17431401,total
45.2825,-73.2407,total
45.297,-122.9783,total
45.3308,-110.7706,total
45.3577,-93.4232,total
45.358,-70.6999,total
45.3681,-75.2878,total
45.3769,-73.3881,total
45.3931,-73.5255,total
45.4415,-75.6571,total
45.4625,-122.726,total
45.481,-122.5905,total
45.4893,-73.8327,total
45.4960044,-70.8933287,total
45.5083,-73.4089,total
45.5141,-123.1071,total
45.53,-73.1531,total
45.5358,-122.9273,total
45.5445,-122.6487,total
45.5712,-122.6325,total
45.674,-122.6984,total
45.8034,-89.4782,total
45.8156,-108.5259,total
45.8972,-73.4311,total
46.3817,-82.6954,total
46.4154,-117.1694,total
46.4158,-117.1794,total
46.4166,-117.1791,total
46.697,-92.0555,total
46.7012,-71.5673,total
46.7416,-71.358,total
46.7424,-117.1799,total
46.7426705,-67.9548206,total
46.7509,-117.189,total
46.8011,-114.0596,total
46.86885,-68.007957,total
46.8823,-68.1209,total
46.9081,-117.0776,total
47.0433,-122.8231,total
47.1358,-91.5828,total
47.2041,-122.1824,total
47.2866,-122.0914,total
47.2875,-122.7741,total
47.3882,-122.8313,total
47.4385,-114.1723,total
47.4818,-123.2424,total
47.5798,-122.1238,total
47.6437,-122.1459,total
47.6599,-92.2582,total
47.6692,-122.308,total
47.6757,-122.3305,total
47.6788,-122.0251,total
47.6896,-122.3474,total
47.725,-121.9369,total
47.7913,-122.2853,total
47.8324,-122.198,total
47.973,-122.3783,total
47.9997,-123.265,total
48.3106,-102.3904,total
48.5503,-117.8993,total
48.7096,-122.501,total
48.7156,-122.4667,total
49.0851,-116.4991,total
49.4136,-123.3292,total
49.6767,-112.8068,total
49.7365,-123.1059,total
49.8788,-119.1507,total
50.0774,-96.842,total
50.24,-97.3026,total
50.4923,-104.6327,total
50.7253,-113.9747,total
50.7989,-104.9368,total
50.9975,-118.1833,total
53.3637,-113.7158,total
54.7136,-113.244,total
26.17650887,-98.23064993,annular
26.28386988,-98.16474329,annular
26.52228,-97.48266,annular
27.1192,-82.4443,annular
27.5011,-82.405,annular
28.8872,-81.8684,annular
29.454393,-98.561283,annular
29.534005,-99.685171,annular
29.5703658,-98.6427889,annular
29.6327319,-100.4386019,annular
29.63505,-98.93757,annular
29.9485643,-95.47071,annular
29.96321,-98.98212,annular
30.05884,-99.15383,annular
30.2,-97.6,annular
30.2054,-97.808,annular
30.3691,-98.8662,annular
30.4475,-99.807778,annular
30.4855,-97.8598,annular
30.513461,-98.828046,annular
30.6175942,-96.3370725,annular
30.6496738,-96.2888873,annular
30.8532,-88.0561,annular
31.0736,-97.4727,annular
31.94287,-100.91912,annular
32.4327,-111.0722,annular
32.434584,-97.662037,annular
32.5232,-92.1604,annular
32.5794,-97.0765,annular
32.7219,-97.3474,annular
32.7354,-80.1801,annular
32.742628,-97.549379,annular
32.8952,-79.8119,annular
33.031278,-96.68974,annular
33.1983,-96.6389,annular
33.2469,-86.7828,annular
33.2716,-87.5362,annular
33.3095,-84.5466,annular
33.4189684,-104.5228064,annular
33.518365,-111.904735,annular
33.8217,-84.261,annular
33.8529,-86.8198,annular
33.882,-84.495,annular
33.999837,-118.295742,annular
34.045395,-118.095194,annular
34.0481961,-118.3860591,annular
34.0797,-117.6484,annular
34.10034,-118.32876,annular
34.1049,-117.8132,annular
34.1139,-118.2588,annular
34.19486,-118.4012,annular
34.2439,-116.9114,annular
34.2468,-84.1491,annular
34.442085,-118.551319,annular
34.6054,-92.6255,annular
34.6367,-106.7322,annular
34.7315,-86.5654,annular
35.08507135,-106.6224292,annular
35.2102,-84.883,annular
35.2905,-82.544,annular
35.3726,-97.2068,annular
35.4467,-82.4978,annular
35.622,-78.7447,annular
35.6883,-105.88611,annular
35.68835,-105.88607,annular
35.68909,-105.88672,annular
35.6901,-105.88711,annular
35.7176,-94.9203,annular
35.73014,-92.42366,annular
35.7543,-95.3926,annular
35.8887,-78.5934,annular
35.9186,-78.6743,annular
35.9627,-81.6245,annular
35.970034,-114.833542,annular
35.987,-87.1451,annular
36.0048,-86.7886,annular
36.0105,-80.0429,annular
36.5302,-82.4516,annular
36.5814,-121.9083,annular
37.3021,-121.9323,annular
37.3407,-121.97411,annular
37.3408,-121.7648,annular
37.4679,-122.272,annular
37.4848,-122.2282,annular
37.5271,-122.5155,annular
37.7045,-122.0742,annular
37.7669,-122.4321,annular
37.8408,-122.2005,annular
37.9064,-122.3014,annular
37.999,-122.6355,annular
38.0012,-122.6016,annular
38.0889,-122.5178,annular
38.2457,-104.545,annular
38.2687,-122.4588,annular
38.28,-120.9703,annular
38.6106,-94.6891,annular
38.6527,-90.4905,annular
38.6568,-120.9357,annular
38.7636,-77.4322,annular
38.76457,-112.10124,annular
38.770203,-111.929433,annular
38.8661,-77.1949,annular
38.8884,-77.2468,annular
38.9022,-94.3908,annular
38.9636,-94.6496,annular
38.9959,-85.0141,annular
39.085,-108.678,annular
39.1149,-84.7251,annular
39.1641,-84.5374,annular
39.5243,-122.1936,annular
39.7278,-104.6601,annular
39.7364,-105.0431,annular
39.7556,-75.6544,annular
39.7609,-121.6007,annular
39.7767,-86.3327,annular
39.9166,-75.0497,annular
39.9244,-76.298,annular
39.9378,-75.4074,annular
39.9663,-74.8103,annular
39.9828,-105.2371,annular
39.9916,-105.1189,annular
39.9924,-105.1187,annular
39.9983,-74.7687,annular
40.1431,-105.1645,annular
40.1452,-105.1667,annular
40.1523,-84.2502,annular
40.2644,-75.1136,annular
40.4126,-79.6494,annular
40.57716224,-105.0746614,annular
40.5776,-80.0526,annular
40.62757591,-96.95340501,annular
40.6993,-99.0817,annular
40.716,-111.8659,annular
40.7474,-89.6455,annular
40.8376,-76.8744,annular
40.8595,-76.7777,annular
40.911619,-117.63494,annular
41.0037,-74.0917,annular
41.0239,-74.1376,annular
41.3846,-82.2458,annular
41.4246,-81.9252,annular
41.4592,-82.0558,annular
41.5363,-81.3401,annular
41.6764,-86.252,annular
41.7298,-80.1322,annular
41.8749,-71.5429,annular
41.9084,-87.6533,annular
41.9649,-71.0175,annular
42.1177,-72.6445,annular
42.1648,-71.254,annular
42.18691153,-120.3538956,annular
42.2516,-71.5966,annular
42.3109,-74.0554,annular
42.379,-85.8985,annular
42.3843,-72.6515,annular
42.3884,-85.4124,annular
42.4668,-83.3831,annular
42.5442,-71.3733,annular
42.5648,-72.8356,annular
42.614275,-71.91226,annular
43.1567,-77.6107,annular
43.1572,-75.4639,annular
43.266,-79.9441,annular
43.3033,-91.7857,annular
43.5361,-80.2893,annular
43.6497,-79.4509,annular
43.6512,-79.4637,annular
43.6699,-79.3223,annular
43.696,-80.3803,annular
43.7081,-72.1017,annular
43.9028,-91.3132,annular
43.9259,-78.7802,annular
44.028473,-92.856676,annular
44.0422,-77.737,annular
44.0553,-121.2981,annular
44.3905,-92.0831,annular
44.561,-75.7218,annular
44.8988,-73.1067,annular
44.9187,-84.908,annular
45.2825,-73.2407,annular
45.3769,-73.3881,annular
45.481,-122.5905,annular
45.4893,-73.8327,annular
45.5141,-123.1071,annular
45.515913,-122.5974699,annular
45.53,-73.1531,annular
45.5712,-122.6325,annular
45.674,-122.6984,annular
45.8972,-73.4311,annular
46.3817,-82.6954,annular
46.461035,-124.055533,annular
47.0433,-122.8231,annular
47.4385,-114.1723,annular
47.5338055,-122.1853343,annular
47.725,-121.9369,annular
47.9161,-91.7694,annular
48.7096,-122.501,annular
50.0774,-96.842,annular
50.7253,-113.9747,annular
50.9975,-118.1833,annular
