com_name,sci_name_bw,sci_name_elton,sci_name_botw,nocturnal,cavity
Crescent Honeyeater,Phylidonyris pyrrhopterus,Phylidonyris pyrrhopterus,Phylidonyris pyrrhopterus,0,
Gray Currawong,Strepera versicolor,Strepera versicolor,Strepera versicolor,0,
Jacky-winter,Microeca fascinans,Microeca fascinans,Microeca fascinans,0,
Striated Thornbill,Acanthiza lineata,Acanthiza lineata,Acanthiza lineata,0,
Bassian Thrush,Zoothera lunulata,Zoothera lunulata,Zoothera lunulata,0,
Red-rumped Parrot,Psephotus haematonotus,Psephotus haematonotus,Psephotus haematonotus,0,
Black Swan,Cygnus atratus,Cygnus atratus,Cygnus atratus,0,
Morepork,Ninox novaeseelandiae,Ninox novaeseelandiae,Ninox novaeseelandiae,1,
Yellow Thornbill,Acanthiza nana,Acanthiza nana,Acanthiza nana,0,
New Zealand Fantail,Rhipidura fuliginosa,Rhipidura fuliginosa,Rhipidura fuliginosa,0,
Tui,Prosthemadera novaeseelandiae,Prosthemadera novaeseelandiae,Prosthemadera novaeseelandiae,0,
Gray Gerygone,Gerygone igata,Gerygone igata,Gerygone igata,0,
Brown Thornbill,Acanthiza pusilla,Acanthiza pusilla,Acanthiza pusilla,0,
Buff-rumped Thornbill,Acanthiza reguloides,Acanthiza reguloides,Acanthiza reguloides,0,
Yellow-rumped Thornbill,Acanthiza chrysorrhoa,Acanthiza chrysorrhoa,Acanthiza chrysorrhoa,0,
Superb Fairywren,Malurus cyaneus,Malurus cyaneus,Malurus cyaneus,0,
Weebill,Smicrornis brevirostris,Smicrornis brevirostris,Smicrornis brevirostris,0,
Superb Lyrebird,Menura novaehollandiae,Menura novaehollandiae,Menura novaehollandiae,0,
Red-browed Firetail,Neochmia temporalis,Neochmia temporalis,Neochmia temporalis,0,
Yellow-throated Miner,Manorina flavigula,Manorina flavigula,Manorina flavigula,0,
Australasian Grebe,Tachybaptus novaehollandiae,Tachybaptus novaehollandiae,Tachybaptus novaehollandiae,0,
White-throated Gerygone,Gerygone olivacea,Gerygone olivacea,Gerygone olivacea,0,
Stubble Quail,Coturnix pectoralis,Coturnix pectoralis,Coturnix pectoralis,0,
Southern Emuwren,Stipiturus malachurus,Stipiturus malachurus,Stipiturus malachurus,0,
Gray Teal,Anas gracilis,Anas gracilis,Anas gracilis,0,
Black-fronted Dotterel,Elseyornis melanops,Elseyornis melanops,Elseyornis melanops,0,
Australian Reed Warbler,Acrocephalus australis,Acrocephalus australis,Acrocephalus australis,0,
Black-chinned Honeyeater,Melithreptus gularis,Melithreptus gularis,Melithreptus gularis,0,
Western Corella,Cacatua pastinator,Cacatua pastinator,Cacatua pastinator,0,
Black-throated Munia,Lonchura kelaarti,Lonchura kelaarti,Lonchura kelaarti,0,
Fan-tailed Gerygone,Gerygone flavolateralis,Gerygone flavolateralis,Gerygone flavolateralis,0,
Forest Raven,Corvus tasmanicus,Corvus tasmanicus,Corvus tasmanicus,0,
Green Rosella,Platycercus caledonicus,Platycercus caledonicus,Platycercus caledonicus,0,
Australian Ringneck,Barnardius zonarius,Barnardius zonarius,Barnardius zonarius,0,
Red-capped Parrot,Purpureicephalus spurius,Purpureicephalus spurius,Purpureicephalus spurius,0,
Western Wattlebird,Anthochaera lunulata,Anthochaera lunulata,Anthochaera lunulata,0,
White-winged Fairywren,Malurus leucopterus,Malurus leucopterus,Malurus leucopterus,0,
Black Currawong,Strepera fuliginosa,Strepera fuliginosa,Strepera fuliginosa,0,
Flame Robin,Petroica phoenicea,Petroica phoenicea,Petroica phoenicea,0,
Cloud-forest Pygmy-Owl,Glaucidium nubicola,Glaucidium nubicola,Glaucidium nubicola,1,
Greater Yellow-Finch,Sicalis auriventris,Sicalis auriventris,Sicalis auriventris,0,
Brown Gerygone,Gerygone mouki,Gerygone mouki,Gerygone mouki,0,
Collared Sparrowhawk,Accipiter cirrocephalus,Accipiter cirrocephalus,Accipiter cirrocephalus,0,
New Zealand Bellbird,Anthornis melanura,Anthornis melanura,Anthornis melanura,0,
Tomtit,Petroica macrocephala,Petroica macrocephala,Petroica macrocephala,0,
Whitehead,Mohoua albicilla,Mohoua albicilla,Mohoua albicilla,0,
Stitchbird,Notiomystis cincta,Notiomystis cincta,Notiomystis cincta,0,
Jameson's Snipe,Gallinago jamesoni,Gallinago jamesoni,Gallinago jamesoni,0,
Plain-colored Tanager,Tangara inornata,Tangara inornata,Tangara inornata,0,
Gray-headed Lapwing,Vanellus cinereus,Vanellus cinereus,Vanellus cinereus,0,
Tanimbar Corella,Cacatua goffiniana,Cacatua goffiniana,Cacatua goffiniana,0,
Red-knobbed Coot,Fulica cristata,Fulica cristata,Fulica cristata,0,
Noisy Pitta,Pitta versicolor,Pitta versicolor,Pitta versicolor,0,
Tasmanian Scrubwren,Sericornis humilis,Sericornis humilis,Sericornis humilis,0,
Red-backed Fairywren,Malurus melanocephalus,Malurus melanocephalus,Malurus melanocephalus,0,
Sooty Owl,Tyto tenebricosa,Tyto tenebricosa,Tyto tenebricosa,1,
Lewin's Rail,Lewinia pectoralis,Lewinia pectoralis,Lewinia pectoralis,0,
Black-headed Honeyeater,Melithreptus affinis,Melithreptus affinis,Melithreptus affinis,0,
Yellow Wattlebird,Anthochaera paradoxa,Anthochaera paradoxa,Anthochaera paradoxa,0,
Brown Violetear,Colibri delphinae,Colibri delphinae,Colibri delphinae,0,
Crested Guan,Penelope purpurascens,Penelope purpurascens,Penelope purpurascens,0,
Gray-breasted Wood-Wren,Henicorhina leucophrys,Henicorhina leucophrys,Henicorhina leucophrys,0,
Mouse-colored Tyrannulet,Phaeomyias murina,Phaeomyias murina,Phaeomyias murina,0,
Sparkling Violetear,Colibri coruscans,Colibri coruscans,Colibri coruscans,0,
Peruvian Pygmy-Owl,Glaucidium peruanum,Glaucidium peruanum,Glaucidium peruanum,1,
White-bearded Manakin,Manacus manacus,Manacus manacus,Manacus manacus,0,
Campo Flicker,Colaptes campestris,Colaptes campestris,Colaptes campestris,0,
Purple-throated Euphonia,Euphonia chlorotica,Euphonia chlorotica,Euphonia chlorotica,0,
Rufous-browed Peppershrike,Cyclarhis gujanensis,Cyclarhis gujanensis,Cyclarhis gujanensis,0,
Sick's Swift,Chaetura meridionalis,Chaetura meridionalis,Chaetura meridionalis,0,
Slaty-breasted Wood-Rail,Aramides saracura,Aramides saracura,Aramides saracura,0,
Southern Lapwing,Vanellus chilensis,Vanellus chilensis,Vanellus chilensis,0,
Buff-browed Foliage-gleaner,Syndactyla rufosuperciliata,Syndactyla rufosuperciliata,Syndactyla rufosuperciliata,0,
Golden-crowned Warbler,Basileuterus culicivorus,Basileuterus culicivorus,Basileuterus culicivorus,0,
Picazuro Pigeon,Patagioenas picazuro,Patagioenas picazuro,Patagioenas picazuro,0,
Red-breasted Toucan,Ramphastos dicolorus,Ramphastos dicolorus,Ramphastos dicolorus,0,
Rough-legged Tyrannulet,Phyllomyias burmeisteri,Phyllomyias burmeisteri,Phyllomyias burmeisteri,0,
Rufous Hornero,Furnarius rufus,Furnarius rufus,Furnarius rufus,0,
Swallow-tailed Manakin,Chiroxiphia caudata,Chiroxiphia caudata,Chiroxiphia caudata,0,
Variable Antshrike,Thamnophilus caerulescens,Thamnophilus caerulescens,Thamnophilus caerulescens,0,
Violet-capped Woodnymph,Thalurania glaucopis,Thalurania glaucopis,Thalurania glaucopis,0,
Black-capped Screech-Owl,Megascops atricapilla,Megascops atricapilla,Megascops atricapilla,1,
Chestnut-vented Conebill,Conirostrum speciosum,Conirostrum speciosum,Conirostrum speciosum,0,
Collared Forest-Falcon,Micrastur semitorquatus,Micrastur semitorquatus,Micrastur semitorquatus,0,
Curl-crested Jay,Cyanocorax cristatellus,Cyanocorax cristatellus,Cyanocorax cristatellus,0,
Euler's Flycatcher,Lathrotriccus euleri,Lathrotriccus euleri,Lathrotriccus euleri,0,
Gray-headed Tody-Flycatcher,Todirostrum poliocephalum,Todirostrum poliocephalum,Todirostrum poliocephalum,0,
Ocellated Poorwill,Nyctiphrynus ocellatus,Nyctiphrynus ocellatus,Nyctiphrynus ocellatus,1,
Olivaceous Woodcreeper,Sittasomus griseicapillus,Sittasomus griseicapillus,Sittasomus griseicapillus,0,
Plumbeous Pigeon,Patagioenas plumbea,Patagioenas plumbea,Patagioenas plumbea,0,
Tataupa Tinamou,Crypturellus tataupa,Crypturellus tataupa,Crypturellus tataupa,0,
White-shouldered Fire-eye,Pyriglena leucoptera,Pyriglena leucoptera,Pyriglena leucoptera,0,
Brown Tinamou,Crypturellus obsoletus,Crypturellus obsoletus,Crypturellus obsoletus,0,
Reddish Hermit,Phaethornis ruber,Phaethornis ruber,Phaethornis ruber,0,
Rufous-capped Spinetail,Synallaxis ruficapilla,Synallaxis ruficapilla,Synallaxis ruficapilla,0,
Rufous-margined Antwren,Herpsilochmus rufimarginatus,Herpsilochmus rufimarginatus,Herpsilochmus rufimarginatus,0,
Plain Antvireo,Dysithamnus mentalis,Dysithamnus mentalis,Dysithamnus mentalis,0,
Spix's Spinetail,Synallaxis spixi,Synallaxis spixi,Synallaxis spixi,0,
Spot-backed Antshrike,Hypoedaleus guttatus,Hypoedaleus guttatus,Hypoedaleus guttatus,0,
White-throated Spadebill,Platyrinchus mystaceus,Platyrinchus mystaceus,Platyrinchus mystaceus,0,
Black-goggled Tanager,Trichothraupis melanops,Trichothraupis melanops,Trichothraupis melanops,0,
Black-tailed Tityra,Tityra cayana,Tityra cayana,Tityra cayana,0,
Green-winged Saltator,Saltator similis,Saltator similis,Saltator similis,0,
Rufous Gnateater,Conopophaga lineata,Conopophaga lineata,Conopophaga lineata,0,
Scale-throated Hermit,Phaethornis eurynome,Phaethornis eurynome,Phaethornis eurynome,0,
Scaly-headed Parrot,Pionus maximiliani,Pionus maximiliani,Pionus maximiliani,0,
Buff-necked Ibis,Theristicus caudatus,Theristicus caudatus,Theristicus caudatus,0,
Pale-breasted Thrush,Turdus leucomelas,Turdus leucomelas,Turdus leucomelas,0,
Swallow-tailed Hummingbird,Eupetomena macroura,Eupetomena macroura,Eupetomena macroura,0,
Yellow-chevroned Parakeet,Brotogeris chiriri,Brotogeris chiriri,Brotogeris chiriri,0,
Dusky-legged Guan,Penelope obscura,Penelope obscura,Penelope obscura,0,
Rufous-capped Motmot,Baryphthengus ruficapillus,Baryphthengus ruficapillus,Baryphthengus ruficapillus,0,
Pale-vented Pigeon,Patagioenas cayennensis,Patagioenas cayennensis,Patagioenas cayennensis,0,
Rufous-bellied Thrush,Turdus rufiventris,Turdus rufiventris,Turdus rufiventris,0,
Toco Toucan,Ramphastos toco,Ramphastos toco,Ramphastos toco,0,
Channel-billed Toucan,Ramphastos vitellinus,Ramphastos vitellinus,Ramphastos vitellinus,0,
Yellow-headed Caracara,Milvago chimachima,Milvago chimachima,Milvago chimachima,0,
Rusty-margined Guan,Penelope superciliaris,Penelope superciliaris,Penelope superciliaris,0,
Helmeted Manakin,Antilophia galeata,Antilophia galeata,Antilophia galeata,0,
Crimson-crested Woodpecker,Campephilus melanoleucos,Campephilus melanoleucos,Campephilus melanoleucos,0,
Robust Woodpecker,Campephilus robustus,Campephilus robustus,Campephilus robustus,0,
Great Thrush,Turdus fuscater,Turdus fuscater,Turdus fuscater,0,
Lesser Woodcreeper,Xiphorhynchus fuscus,Xiphorhynchus fuscus,Xiphorhynchus fuscus,0,
White-throated Hummingbird,Leucochloris albicollis,Leucochloris albicollis,Leucochloris albicollis,0,
White Woodpecker,Melanerpes candidus,Melanerpes candidus,Melanerpes candidus,0,
Rusty-barred Owl,Strix hylophila,Strix hylophila,Strix hylophila,1,
Tawny-browed Owl,Pulsatrix koeniswaldiana,Pulsatrix koeniswaldiana,Pulsatrix koeniswaldiana,1,
White-crested Tyrannulet,Serpophaga subcristata,Serpophaga subcristata,Serpophaga subcristata,0,
White-eyed Foliage-gleaner,Automolus leucophthalmus,Automolus leucophthalmus,Automolus leucophthalmus,0,
Red-rumped Cacique,Cacicus haemorrhous,Cacicus haemorrhous,Cacicus haemorrhous,0,
Red-shouldered Macaw,Diopsittaca nobilis,Diopsittaca nobilis,Diopsittaca nobilis,0,
Ringed Kingfisher,Megaceryle torquata,Megaceryle torquata,Megaceryle torquata,0,
Swainson's Flycatcher,Myiarchus swainsoni,Myiarchus swainsoni,Myiarchus swainsoni,0,
Plain Parakeet,Brotogeris tirica,Brotogeris tirica,Brotogeris tirica,0,
White-necked Thrush,Turdus albicollis,Turdus albicollis,Turdus albicollis,0,
Black Jacobin,Florisuga fusca,Florisuga fusca,Florisuga fusca,0,
Brazilian Ruby,Clytolaema rubricauda,Clytolaema rubricauda,Clytolaema rubricauda,0,
Creamy-bellied Thrush,Turdus amaurochalinus,Turdus amaurochalinus,Turdus amaurochalinus,0,
Mouse-colored Tapaculo,Scytalopus speluncae,Scytalopus speluncae,Scytalopus speluncae,0,
Pale-browed Treehunter,Cichlocolaptes leucophrus,Cichlocolaptes leucophrus,Cichlocolaptes leucophrus,0,
Sharp-tailed Streamcreeper,Lochmias nematura,Lochmias nematura,Lochmias nematura,0,
Rufous-crowned Greenlet,Hylophilus poicilotis,Hylophilus poicilotis,Hylophilus poicilotis,0,
